,shift_start_time,year,month,day,hour,patient_intake_count,shift_type_Evening,shift_type_Morning,shift_type_Night
0,2008-01-01 00:00:00+00:00,2008,1,1,0,0,False,False,True
1,2008-01-01 04:00:00+00:00,2008,1,1,4,0,False,False,True
2,2008-01-01 08:00:00+00:00,2008,1,1,8,0,False,True,False
3,2008-01-01 12:00:00+00:00,2008,1,1,12,3,False,True,False
4,2008-01-01 16:00:00+00:00,2008,1,1,16,0,True,False,False
5,2008-01-01 20:00:00+00:00,2008,1,1,20,2,True,False,False
6,2008-01-02 00:00:00+00:00,2008,1,2,0,0,False,False,True
7,2008-01-02 04:00:00+00:00,2008,1,2,4,1,False,False,True
8,2008-01-02 08:00:00+00:00,2008,1,2,8,0,False,True,False
9,2008-01-02 12:00:00+00:00,2008,1,2,12,1,False,True,False
10,2008-01-02 16:00:00+00:00,2008,1,2,16,1,True,False,False
11,2008-01-02 20:00:00+00:00,2008,1,2,20,1,True,False,False
12,2008-01-03 00:00:00+00:00,2008,1,3,0,0,False,False,True
13,2008-01-03 04:00:00+00:00,2008,1,3,4,0,False,False,True
14,2008-01-03 08:00:00+00:00,2008,1,3,8,3,False,True,False
15,2008-01-03 12:00:00+00:00,2008,1,3,12,2,False,True,False
16,2008-01-03 16:00:00+00:00,2008,1,3,16,1,True,False,False
17,2008-01-03 20:00:00+00:00,2008,1,3,20,2,True,False,False
18,2008-01-04 00:00:00+00:00,2008,1,4,0,0,False,False,True
19,2008-01-04 04:00:00+00:00,2008,1,4,4,0,False,False,True
20,2008-01-04 08:00:00+00:00,2008,1,4,8,0,False,True,False
21,2008-01-04 12:00:00+00:00,2008,1,4,12,1,False,True,False
22,2008-01-04 16:00:00+00:00,2008,1,4,16,2,True,False,False
23,2008-01-04 20:00:00+00:00,2008,1,4,20,2,True,False,False
24,2008-01-05 00:00:00+00:00,2008,1,5,0,1,False,False,True
25,2008-01-05 04:00:00+00:00,2008,1,5,4,0,False,False,True
26,2008-01-05 08:00:00+00:00,2008,1,5,8,2,False,True,False
27,2008-01-05 12:00:00+00:00,2008,1,5,12,1,False,True,False
28,2008-01-05 16:00:00+00:00,2008,1,5,16,2,True,False,False
29,2008-01-05 20:00:00+00:00,2008,1,5,20,1,True,False,False
30,2008-01-06 00:00:00+00:00,2008,1,6,0,1,False,False,True
31,2008-01-06 04:00:00+00:00,2008,1,6,4,0,False,False,True
32,2008-01-06 08:00:00+00:00,2008,1,6,8,0,False,True,False
33,2008-01-06 12:00:00+00:00,2008,1,6,12,0,False,True,False
34,2008-01-06 16:00:00+00:00,2008,1,6,16,2,True,False,False
35,2008-01-06 20:00:00+00:00,2008,1,6,20,3,True,False,False
36,2008-01-07 00:00:00+00:00,2008,1,7,0,2,False,False,True
37,2008-01-07 04:00:00+00:00,2008,1,7,4,1,False,False,True
38,2008-01-07 08:00:00+00:00,2008,1,7,8,0,False,True,False
39,2008-01-07 12:00:00+00:00,2008,1,7,12,0,False,True,False
40,2008-01-07 16:00:00+00:00,2008,1,7,16,3,True,False,False
41,2008-01-07 20:00:00+00:00,2008,1,7,20,1,True,False,False
42,2008-01-08 00:00:00+00:00,2008,1,8,0,0,False,False,True
43,2008-01-08 04:00:00+00:00,2008,1,8,4,1,False,False,True
44,2008-01-08 08:00:00+00:00,2008,1,8,8,0,False,True,False
45,2008-01-08 12:00:00+00:00,2008,1,8,12,2,False,True,False
46,2008-01-08 16:00:00+00:00,2008,1,8,16,1,True,False,False
47,2008-01-08 20:00:00+00:00,2008,1,8,20,3,True,False,False
48,2008-01-09 00:00:00+00:00,2008,1,9,0,1,False,False,True
49,2008-01-09 04:00:00+00:00,2008,1,9,4,0,False,False,True
50,2008-01-09 08:00:00+00:00,2008,1,9,8,1,False,True,False
51,2008-01-09 12:00:00+00:00,2008,1,9,12,2,False,True,False
52,2008-01-09 16:00:00+00:00,2008,1,9,16,1,True,False,False
53,2008-01-09 20:00:00+00:00,2008,1,9,20,1,True,False,False
54,2008-01-10 00:00:00+00:00,2008,1,10,0,1,False,False,True
55,2008-01-10 04:00:00+00:00,2008,1,10,4,0,False,False,True
56,2008-01-10 08:00:00+00:00,2008,1,10,8,2,False,True,False
57,2008-01-10 12:00:00+00:00,2008,1,10,12,2,False,True,False
58,2008-01-10 16:00:00+00:00,2008,1,10,16,2,True,False,False
59,2008-01-10 20:00:00+00:00,2008,1,10,20,5,True,False,False
60,2008-01-11 00:00:00+00:00,2008,1,11,0,1,False,False,True
61,2008-01-11 04:00:00+00:00,2008,1,11,4,2,False,False,True
62,2008-01-11 08:00:00+00:00,2008,1,11,8,2,False,True,False
63,2008-01-11 12:00:00+00:00,2008,1,11,12,0,False,True,False
64,2008-01-11 16:00:00+00:00,2008,1,11,16,4,True,False,False
65,2008-01-11 20:00:00+00:00,2008,1,11,20,1,True,False,False
66,2008-01-12 00:00:00+00:00,2008,1,12,0,1,False,False,True
67,2008-01-12 04:00:00+00:00,2008,1,12,4,0,False,False,True
68,2008-01-12 08:00:00+00:00,2008,1,12,8,1,False,True,False
69,2008-01-12 12:00:00+00:00,2008,1,12,12,1,False,True,False
70,2008-01-12 16:00:00+00:00,2008,1,12,16,1,True,False,False
71,2008-01-12 20:00:00+00:00,2008,1,12,20,3,True,False,False
72,2008-01-13 00:00:00+00:00,2008,1,13,0,0,False,False,True
73,2008-01-13 04:00:00+00:00,2008,1,13,4,0,False,False,True
74,2008-01-13 08:00:00+00:00,2008,1,13,8,1,False,True,False
75,2008-01-13 12:00:00+00:00,2008,1,13,12,1,False,True,False
76,2008-01-13 16:00:00+00:00,2008,1,13,16,0,True,False,False
77,2008-01-13 20:00:00+00:00,2008,1,13,20,0,True,False,False
78,2008-01-14 00:00:00+00:00,2008,1,14,0,1,False,False,True
79,2008-01-14 04:00:00+00:00,2008,1,14,4,1,False,False,True
80,2008-01-14 08:00:00+00:00,2008,1,14,8,2,False,True,False
81,2008-01-14 12:00:00+00:00,2008,1,14,12,0,False,True,False
82,2008-01-14 16:00:00+00:00,2008,1,14,16,0,True,False,False
83,2008-01-14 20:00:00+00:00,2008,1,14,20,1,True,False,False
84,2008-01-15 00:00:00+00:00,2008,1,15,0,0,False,False,True
85,2008-01-15 04:00:00+00:00,2008,1,15,4,2,False,False,True
86,2008-01-15 08:00:00+00:00,2008,1,15,8,2,False,True,False
87,2008-01-15 12:00:00+00:00,2008,1,15,12,2,False,True,False
88,2008-01-15 16:00:00+00:00,2008,1,15,16,1,True,False,False
89,2008-01-15 20:00:00+00:00,2008,1,15,20,1,True,False,False
90,2008-01-16 00:00:00+00:00,2008,1,16,0,0,False,False,True
91,2008-01-16 04:00:00+00:00,2008,1,16,4,0,False,False,True
92,2008-01-16 08:00:00+00:00,2008,1,16,8,3,False,True,False
93,2008-01-16 12:00:00+00:00,2008,1,16,12,1,False,True,False
94,2008-01-16 16:00:00+00:00,2008,1,16,16,1,True,False,False
95,2008-01-16 20:00:00+00:00,2008,1,16,20,2,True,False,False
96,2008-01-17 00:00:00+00:00,2008,1,17,0,2,False,False,True
